id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Nike Women Black T-shirt
2243,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,ADIDAS Men Stripe Polo White Polo T-shirt
2049,Men,Apparel,Topwear,Tshirts,White,Summer,2010.0,Sports,ADIDAS Men's Slim Fit White T-shirt
1638,Unisex,Apparel,Bottomwear,Swimwear,Blue,Fall,2010.0,Sports,Nabaiji Swimming Goggles Blue Black
1852,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Inkfruit Men Ride It Or Die T-shirt
2244,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Casual,ADIDAS Women's Black T-shirt
1607,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2010.0,Sports,Reebok Men trackpant- male Track Pants
1890,Men,Apparel,Topwear,Tshirts,Red,Winter,2010.0,Casual,FIFA Mens Essentials Red T-shirt
2040,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Casual,ADIDAS Mens Fire White Polo T-shirt
2272,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Nike Mens Blue Polo T-shirt
2286,Men,Apparel,Topwear,Sweatshirts,Black,Fall,2010.0,Sports,Nike Men Black Sweatshirt
1609,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2010.0,Sports,Reebok Women Boat-Neck Wildberry Sweatshirt
1863,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Inkfruit Men Night Wolf T-shirt
1897,Men,Apparel,Topwear,Tshirts,Blue,Winter,2010.0,Sports,FIFA Men Germany Blue Jersey
2078,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,ADIDAS Women Fitted Black T-shirt
1636,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Nike Men Air Zoom Century Shoes
2275,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Nike Mens Challenger Graphic White T-shirt
2047,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2010.0,Sports,ADIDAS Men's Navy Blue T-shirt
1808,Unisex,Accessories,Water Bottle,Water Bottle,Purple,Fall,2010.0,Sports,Quechua Aluminium Print Water Bottle
1662,Men,Apparel,Topwear,Jackets,Navy Blue,Fall,2012.0,Sports,Nike Men Blue Windrunner Jacket
2221,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2011.0,Sports,ADIDAS Classic Blue White Backpack
2226,Women,Apparel,Bottomwear,Track Pants,Black,Fall,2010.0,Sports,ADIDAS Women Black Tracksuit
2014,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2010.0,Sports,ADIDAS Men's Classic Yellow Polo T-shirt
2219,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,ADIDAS Men's Black Shoe
